stan_id,player_id,player,last_name,first_name,draft_year,pos_broad,pos_spec,primary_league,primary_region,continent,nation_origin,nation_compete,prop_sr,height_z,age_split
1,2019_195251,Matous Cmiel,Cmiel,Matous,2019,F,C,Czechia U19,Czechia,Europe,EUR,EUR,0,1.8533947200921146,Early
2,2019_199750,Jerry Turkulainen,Turkulainen,Jerry,2019,F,W,Liiga,Finland,Europe,FIN,FIN,1,-2.2863352021409242,Overage
3,2019_201359,Matthew Wedman,Wedman,Matthew,2019,F,C,WHL,Western Canada,North America,CAN,CAN,0,1.5222163263134714,Overage
4,2019_201472,Tyce Thompson,Thompson,Tyce,2019,F,C,NCAA,USA,North America,USA,USA,0.5,0.1975027511988991,Overage
5,2019_201476,Nick Abruzzese,Abruzzese,Nick,2019,F,F,USHL,USA,North America,USA,USA,0,-1.4583892176943163,Overage
6,2019_201481,Marc Del Gaizo,Del Gaizo,Marc,2019,D,LHD,NCAA,USA,North America,USA,USA,0.5,-1.3602895229820355,Overage
7,2019_201653,Joseph Garreffa,Garreffa,Joseph,2019,F,F,OHL,Ontario,North America,CAN,CAN,0,-1.4583892176943163,Overage
8,2019_201698,Kyle Topping,Topping,Kyle,2019,F,C,WHL,Western Canada,North America,CAN,CAN,0,-0.6304432332477086,Overage
9,2019_226921,James Malm,Malm,James,2019,F,W,WHL,Western Canada,North America,CAN,CAN,0,-1.4583892176943163,Overage
10,2019_236308,Krystof Hrabik,Hrabik,Krystof,2019,F,F,WHL,Western Canada,North America,EUR,CAN,0,1.6878055232027929,Overage
11,2019_236358,Lukas Rousek,Rousek,Lukas,2019,F,W,Czechia,Czechia,Europe,EUR,EUR,0.8181818181818182,-0.6304432332477086,Overage
12,2019_236816,Axel Simic,Simic,Axel,2019,F,F,Elite Jr. A,Switzerland,Europe,EUR,EUR,0.4489795918367347,-1.7895676114729595,Overage
13,2019_238111,Nikita Alexandrov,Alexandrov,Nikita,2019,F,C,QMJHL,Quebec/Atlantic Canada,North America,RUS,CAN,0,0.1975027511988991,Late
14,2019_240064,Linus Nassen,Nassen,Linus,2019,D,LHD,WHL,Western Canada,North America,SWE,CAN,0,-0.37363215516118353,Overage
15,2019_240385,Nolan Foote,Foote,Nolan,2019,F,W,WHL,Western Canada,North America,CAN,CAN,0,1.5222163263134714,Late
16,2019_241373,Nathan Larose,Larose,Nathan,2019,D,RHD,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-0.20918926052437484,Late
17,2019_241379,Xavier Parent,Parent,Xavier,2019,F,W,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-1.7895676114729595,Early
18,2019_257755,Brett Leason,Leason,Brett,2019,F,W,WHL,Western Canada,North America,CAN,CAN,0,1.8533947200921146,Overage
19,2019_258430,Luka Burzan,Burzan,Luka,2019,F,F,WHL,Western Canada,North America,CAN,CAN,0,-0.133675642579744,Overage
20,2019_258628,Bryce Kindopp,Kindopp,Bryce,2019,F,W,WHL,Western Canada,North America,CAN,CAN,0,0.1975027511988991,Overage
21,2019_258987,Moritz Seider,Seider,Moritz,2019,D,RHD,DEL,Germany,Europe,EUR,EUR,1,1.1063538965700945,Early
22,2019_259121,Nikola Pasic,Pasic,Nikola,2019,F,F,J20 SuperElit,Sweden,Europe,SWE,SWE,0.30357142857142855,-1.1272108239156733,Late
23,2019_264220,Hugo Leufvenius,Leufvenius,Hugo,2019,F,F,OHL,Ontario,North America,SWE,CAN,0,1.0254487356455069,Overage
24,2019_265409,Mads Sogaard,Sogaard,Mads,2019,G,G,WHL,Western Canada,North America,EUR,CAN,0,2.376450032893303,Late
25,2019_266319,Rickard Hugg,Hugg,Rickard,2019,F,F,OHL,Ontario,North America,SWE,CAN,0,-0.7960324301370302,Overage
26,2019_266569,Jarrett Baker,Baker,Jarrett,2019,D,LHD,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-0.5380750497979923,Late
27,2019_266585,Colten Ellis,Ellis,Colten,2019,G,G,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-0.7604640105258541,Late
28,2019_266718,Taro Jentzsch,Jentzsch,Taro,2019,F,F,QMJHL,Quebec/Atlantic Canada,North America,EUR,CAN,0,0.6942703418668638,Overage
29,2019_267112,Matthew Stienburg,Stienburg,Matthew,2019,F,C,CAHS,Canada,North America,CAN,CAN,0,0.1975027511988991,Late
30,2019_268089,Kirby Dach,Dach,Kirby,2019,F,C,WHL,Western Canada,North America,CAN,CAN,0,1.5222163263134714,Early
31,2019_269223,Alexander Dersch,Dersch,Alexander,2019,D,RHD,QMJHL,Quebec/Atlantic Canada,North America,EUR,CAN,0,1.2707967912069034,Overage
32,2019_272014,Adam Samuelsson,Samuelsson,Adam,2019,D,LHD,USHL,USA,North America,USA,USA,0.08333333333333333,1.7641254751173294,Overage
33,2019_272038,Marek Berka,Berka,Marek,2019,F,W,Czechia U19,Czechia,Europe,EUR,EUR,0.058823529411764705,-0.2992648394690655,Early
34,2019_272042,Premysl Svoboda,Svoboda,Premysl,2019,F,W,Czechia U19,Czechia,Europe,EUR,EUR,0.42857142857142855,-0.46485403635838707,Late
35,2019_272363,Tomas Vlk,Vlk,Tomas,2019,G,G,Czechia U19,Czechia,Europe,EUR,EUR,0.07894736842105263,-0.9695916134204646,Late
36,2019_272376,Matej Blumel,Blumel,Matej,2019,F,W,USHL,USA,North America,EUR,USA,0,-0.133675642579744,Overage
37,2019_272426,Karel Plasek,Plasek,Karel,2019,F,W,Czechia,Czechia,Europe,EUR,EUR,0.7916666666666666,-0.2992648394690655,Overage
38,2019_273128,Zdenek Sedlak,Sedlak,Zdenek,2019,F,F,U20 SM-liiga,Finland,Europe,EUR,FIN,0.3148148148148148,1.0254487356455069,Overage
39,2019_273518,Lukas Macklin,Macklin,Lukas,2019,F,W,J20 SuperElit,Sweden,Europe,SWE,SWE,0.46774193548387094,-1.2928000208049948,Overage
40,2019_275863,Adam McCormick,McCormick,Adam,2019,D,LHD,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-1.0314037337084183,Overage
41,2019_276203,Benjamin Kraws,Kraws,Benjamin,2019,G,G,USHL,USA,North America,USA,USA,0,1.3308120184202508,Overage
42,2019_276474,Mark Kastelic,Kastelic,Mark,2019,F,C,WHL,Western Canada,North America,USA,CAN,0,1.3566271294241499,Overage
43,2019_277057,Linus Nyman,Nyman,Linus,2019,F,W,Liiga,Finland,Europe,FIN,FIN,1,-0.7960324301370302,Overage
44,2019_277079,Jere Innala,Innala,Jere,2019,F,W,Liiga,Finland,Europe,FIN,FIN,1,-1.6239784145836378,Overage
45,2019_277536,Alexander Popovic,Popovic,Alexander,2019,D,LHD,J20 SuperElit,Sweden,Europe,SWE,SWE,0,-1.5247324176188444,Early
46,2019_277620,Nino Kinder,Kinder,Nino,2019,F,W,DNL U20,Germany,Europe,EUR,EUR,0.11627906976744186,-0.2992648394690655,Early
47,2019_277778,Gustav Green,Green,Gustav,2019,F,C,Denmark,Denmark,Europe,EUR,EUR,1,0.52868114497754215,Late
48,2019_279101,Lukas Pilo,Pilo,Lukas,2019,D,RHD,HockeyAllsvenskan,Sweden,Europe,SWE,SWE,0.59375,-0.04474636588756616,Overage
49,2019_279765,Tag Bertuzzi,Bertuzzi,Tag,2019,F,C,OHL,Ontario,North America,CAN,CAN,0,0.1975027511988991,Early
50,2019_279770,Danny Weight,Weight,Danny,2019,F,C,USDP,USA,North America,USA,USA,0,-0.133675642579744,Early
51,2019_281733,Max Crozier,Crozier,Max,2019,D,RHD,USHL,USA,North America,CAN,USA,0,0.2841394233860512,Overage
52,2019_281757,Lukas Wernblom,Wernblom,Lukas,2019,F,F,HockeyAllsvenskan,Sweden,Europe,SWE,SWE,0.8983050847457628,-1.2928000208049948,Overage
53,2019_281939,Dillon Hamaliuk,Hamaliuk,Dillon,2019,F,W,WHL,Western Canada,North America,CAN,CAN,0,1.5222163263134714,Late
54,2019_282412,Luke Bast,Bast,Luke,2019,D,LHD,AJHL,Western Canada,North America,CAN,CAN,0,-1.3602895229820355,Late
55,2019_284005,Cole Coskey,Coskey,Cole,2019,F,W,OHL,Ontario,North America,USA,CAN,0,-0.133675642579744,Overage
56,2019_284030,Ronnie Attard,Attard,Ronnie,2019,D,RHD,USHL,USA,North America,USA,USA,0,0.7774681072964773,Overage
57,2019_284121,Logan Neaton,Neaton,Logan,2019,G,G,BCHL,Western Canada,North America,USA,CAN,0,0.9125568126310297,Overage
58,2019_284916,Felix Bibeau,Bibeau,Felix,2019,F,F,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-0.133675642579744,Overage
59,2019_285089,Max Paddock,Paddock,Max,2019,G,G,WHL,Western Canada,North America,CAN,CAN,0,-0.13308120184202268,Overage
60,2019_285337,McKade Webster,Webster,McKade,2019,F,W,USHL,USA,North America,USA,USA,0,-1.1272108239156733,Overage
61,2019_285385,Cade Webber,Webber,Cade,2019,D,LHD,USHS-Prep,USA,North America,USA,USA,0,1.7641254751173294,Early
62,2019_286608,Logan Barlage,Barlage,Logan,2019,F,C,WHL,Western Canada,North America,CAN,CAN,0,1.8533947200921146,Early
63,2019_286938,Dylan Cozens,Cozens,Dylan,2019,F,C,WHL,Western Canada,North America,CAN,CAN,0,1.1910379325348284,Early
64,2019_286939,Massimo Rizzo,Rizzo,Massimo,2019,F,C,BCHL,Western Canada,North America,CAN,CAN,0,-0.7960324301370302,Early
65,2019_286948,Greg Meireles,Meireles,Greg,2019,F,C,OHL,Ontario,North America,CAN,CAN,0,-0.9616216270263517,Overage
66,2019_286955,Graeme Clarke,Clarke,Graeme,2019,F,W,OHL,Ontario,North America,CAN,CAN,0,-0.133675642579744,Early
67,2019_287341,Nando Eggenberger,Eggenberger,Nando,2019,F,W,OHL,Ontario,North America,EUR,CAN,0,0.6942703418668638,Overage
68,2019_287505,Ethan Anders,Anders,Ethan,2019,G,G,WHL,Western Canada,North America,CAN,CAN,0,-0.7604640105258541,Late
69,2019_287856,Viktor Lodin,Lodin,Viktor,2019,F,F,SHL,Sweden,Europe,SWE,SWE,0.6615384615384615,0.52868114497754215,Overage
70,2019_288459,Samuel Fagemo,Fagemo,Samuel,2019,F,W,SHL,Sweden,Europe,SWE,SWE,0.8787878787878788,-0.6304432332477086,Overage
71,2019_289457,Carson Focht,Focht,Carson,2019,F,C,WHL,Western Canada,North America,CAN,CAN,0,0.1975027511988991,Overage
72,2019_289485,Axel Bergkvist,Bergkvist,Axel,2019,D,LHD,HockeyAllsvenskan,Sweden,Europe,SWE,SWE,0.5901639344262295,-1.689175312255653,Overage
73,2019_290043,Alex Turcotte,Turcotte,Alex,2019,F,C,USDP,USA,North America,USA,USA,0,-0.6304432332477086,Early
74,2019_290052,Josh Nodler,Nodler,Josh,2019,F,F,USHL,USA,North America,USA,USA,0,-0.6304432332477086,Early
75,2019_290129,Cameron York,York,Cameron,2019,D,LHD,USDP,USA,North America,USA,USA,0,-1.0314037337084183,Early
76,2019_290138,Ryan Johnson,Johnson,Ryan,2019,D,LHD,USHL,USA,North America,USA,USA,0,-0.5380750497979923,Early
77,2019_290146,Jonathan Lemieux,Lemieux,Jonathan,2019,G,G,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-0.7604640105258541,Early
