stan_id,player_id,player,last_name,first_name,draft_year,pos_broad,pos_spec,primary_league,primary_region,continent,nation_origin,nation_compete,prop_sr,height_z,age_split
1,2021_201510,Cole Dubinsky,Dubinsky,Cole,2021,F,C,WHL,Western Canada,North America,CAN,CAN,0,-0.898187961838398,Late
2,2021_201721,Quinn Hutson,Hutson,Quinn,2021,F,F,USHL,USA,North America,USA,USA,0,-0.5579652490208231,Overage
3,2021_201723,Hank Kempf,Kempf,Hank,2021,D,LHD,USHL,USA,North America,USA,USA,0,0.3924644229997978,Overage
4,2021_201739,Matthew Beniers,Beniers,Matthew,2021,F,C,NCAA,USA,North America,USA,USA,0.5,0.8029256022494766,Late
5,2021_201766,Carter Mazur,Mazur,Carter,2021,F,W,USHL,USA,North America,USA,USA,0,-0.04763117979446068,Overage
6,2021_201802,Vincent Iorio,Iorio,Vincent,2021,D,RHD,WHL,Western Canada,North America,CAN,CAN,0,0.9167723631010886,Late
7,2021_201803,Benjamin King,King,Benjamin,2021,F,F,WHL,Western Canada,North America,CAN,CAN,0,1.313259671475839,Overage
8,2021_201816,Cade Ahrenholz,Ahrenholz,Cade,2021,F,W,USHS-MN,USA,North America,USA,USA,0,1.313259671475839,Late
9,2021_201817,Josh Doan,Doan,Josh,2021,F,W,USHL,USA,North America,USA,USA,0,0.29259153302311425,Overage
10,2021_201839,Ryder Korczak,Korczak,Ryder,2021,F,C,WHL,Western Canada,North America,CAN,CAN,0,-0.5579652490208231,Late
11,2021_201844,Cole Sillinger,Sillinger,Cole,2021,F,C,USHL,USA,North America,CAN,USA,0,0.8029256022494766,Early
12,2021_201855,Daniel Laatsch,Laatsch,Daniel,2021,D,LHD,USHL,USA,North America,USA,USA,0,1.6158496165694762,Overage
13,2021_201866,Ethan Cardwell,Cardwell,Ethan,2021,F,C,HockeyEttan,Sweden,North America,CAN,SWE,1,-0.5579652490208231,Overage
14,2021_201871,Wyatt Johnston,Johnston,Wyatt,2021,F,C,OHL,Ontario,North America,CAN,CAN,0,0.29259153302311425,Early
15,2021_201892,Scott Morrow,Morrow,Scott,2021,D,RHD,USHS-Prep,USA,North America,USA,USA,0,0.3924644229997978,Late
16,2021_201903,Francesco Lapenna,Lapenna,Francesco,2021,G,G,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-1.3664595946331715,Overage
17,2021_201910,Miguel Tourigny,Tourigny,Miguel,2021,D,RHD,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-2.229075277506656,Overage
18,2021_201918,Taige Harding,Harding,Taige,2021,D,LHD,AJHL,Western Canada,North America,CAN,CAN,0,2.489696183404961,Overage
19,2021_201941,Ellis Rickwood,Rickwood,Ellis,2021,F,C,BCHL,Western Canada,North America,CAN,CAN,0,0.8029256022494766,Overage
20,2021_201953,Cole Jordan,Jordan,Cole,2021,D,LHD,WHL,Western Canada,North America,CAN,CAN,0,0.3924644229997978,Late
21,2021_201956,Nolan Ritchie,Ritchie,Nolan,2021,F,C,WHL,Western Canada,North America,CAN,CAN,0,-1.4085220310647604,Overage
22,2021_285312,Ruben Rafkin,Rafkin,Ruben,2021,D,RHD,Liiga,Finland,Europe,FIN,FIN,1,-0.6561514572027837,Overage
23,2021_291301,Theo Rochette,Rochette,Theo,2021,F,C,QMJHL,Quebec/Atlantic Canada,North America,CAN,CAN,0,-0.898187961838398,Overage
24,2021_292083,Matthew Knies,Knies,Matthew,2021,F,F,USHL,USA,North America,USA,USA,0,1.313259671475839,Late
