ep_id,birthdate,birthdate_backup,pos,height,weight,birthplace,nation,handedness,date_retrieved,source
509884,2003-03-19,19-Mar-03,LW,"6'0"" / 183 cm",161 lbs / 73 kg,"Orebro, SWE",Sweden,R,2022-08-26,https://www.eliteprospects.com/player/509884/robin-karlsson
297881,2000-12-11,11-Dec-00,C/LW,"6'0"" / 184 cm",187 lbs / 85 kg,"Kadan, CZE",Czechia,L,2022-08-26,https://www.eliteprospects.com/player/297881/petr-cajka
522440,2003-03-06,06-Mar-03,RW/LW,"6'3"" / 190 cm",218 lbs / 99 kg,"Prerov, CZE",Czechia,L,2022-08-26,https://www.eliteprospects.com/player/522440/martin-rysavy
318111,2002-03-16,16-Mar-02,D,"6'2"" / 189 cm",209 lbs / 95 kg,"Schongau, GER",Germany,L,2022-08-26,https://www.eliteprospects.com/player/318111/maximilian-glotzl
245310,1997-01-03,03-Jan-97,D,"6'6"" / 198 cm",192 lbs / 87 kg,"Wausau, WI, USA",USA,R,2022-08-26,https://www.eliteprospects.com/player/245310/adam-parsells
415335,2002-05-28,28-May-02,F,"5'11"" / 180 cm",185 lbs / 84 kg,"Fairview, TX, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/415335/chase-yoder
424843,2002-05-04,04-May-02,C,"5'10"" / 179 cm",187 lbs / 85 kg,"Kungalv, SWE",Sweden,L,2022-08-26,https://www.eliteprospects.com/player/424843/ake-stakkestad
512122,2003-01-23,23-Jan-03,G,"6'2"" / 188 cm",179 lbs / 81 kg,"Mendota Heights, MN, USA",USA,L,2022-08-26,https://www.eliteprospects.com/player/512122/anton-castro
312668,1998-02-13,13-Feb-98,D,"5'9"" / 175 cm",194 lbs / 88 kg,"Moskva, RUS",Russia,R,2022-08-26,https://www.eliteprospects.com/player/312668/nikita-makeyev
522442,2003-04-30,30-Apr-03,G,"6'2"" / 188 cm",170 lbs / 77 kg,"Prerov, CZE",Czechia,L,2022-08-26,https://www.eliteprospects.com/player/522442/tomas-suchanek
