ep_id,birthdate,birthplace,nation_primary,nation_secondary,height,weight,pos,handedness,date_retrieved,source
509884,2003-03-19,"Orebro, SWE",Sweden,NA,183,73,LW,R,2022-08-26,https://www.eliteprospects.com/player/509884/robin-karlsson
297881,2000-12-11,"Kadan, CZE",Czechia,NA,184,85,C/LW,L,2022-08-26,https://www.eliteprospects.com/player/297881/petr-cajka
522440,2003-03-06,"Prerov, CZE",Czechia,NA,190,99,RW/LW,L,2022-08-26,https://www.eliteprospects.com/player/522440/martin-rysavy
318111,2002-03-16,"Schongau, GER",Germany,NA,189,95,D,L,2022-08-26,https://www.eliteprospects.com/player/318111/maximilian-glotzl
245310,1997-01-03,"Wausau, WI, USA",USA,NA,198,87,D,R,2022-08-26,https://www.eliteprospects.com/player/245310/adam-parsells
415335,2002-05-28,"Fairview, TX, USA",USA,NA,180,84,F,L,2022-08-26,https://www.eliteprospects.com/player/415335/chase-yoder
424843,2002-05-04,"Kungalv, SWE",Sweden,NA,179,85,C,L,2022-08-26,https://www.eliteprospects.com/player/424843/ake-stakkestad
512122,2003-01-23,"Mendota Heights, MN, USA",USA,NA,188,81,G,L,2022-08-26,https://www.eliteprospects.com/player/512122/anton-castro
312668,1998-02-13,"Moskva, RUS",Russia,NA,175,88,D,R,2022-08-26,https://www.eliteprospects.com/player/312668/nikita-makeyev
522442,2003-04-30,"Prerov, CZE",Czechia,NA,188,77,G,L,2022-08-26,https://www.eliteprospects.com/player/522442/tomas-suchanek
381262,2001-05-19,"Stockholm, SWE",Sweden,USA,186,79,D,L,2022-08-26,https://www.eliteprospects.com/player/381262/samuel-sjolund
623765,2004-02-25,"Wayzata, MN, USA",USA,NA,183,84,D,R,2022-08-26,https://www.eliteprospects.com/player/623765/tristan-sarsland
655345,2004-05-19,"Chicago, IL, USA",USA,NA,183,78,D,R,2022-08-26,https://www.eliteprospects.com/player/655345/ryan-healey
491564,2004-01-12,"Trois-Rivieres, QC, CAN",Canada,NA,185,79,D,R,2022-08-26,https://www.eliteprospects.com/player/491564/tristan-luneau
269519,1998-08-22,"London, ON, CAN",Canada,NA,183,86,D,L,2022-08-26,https://www.eliteprospects.com/player/269519/justin-murray
387334,2000-07-20,"Highland Park, IL, USA",USA,NA,188,88,G,L,2022-08-26,https://www.eliteprospects.com/player/387334/jon-mor
526087,2004-01-10,"Windsor, ON, CAN",Canada,USA,185,84,D,L,2022-08-26,https://www.eliteprospects.com/player/526087/spencer-sova
201910,2002-02-09,"Victoriaville, QC, CAN",Canada,NA,173,78,D,R,2022-08-26,https://www.eliteprospects.com/player/201910/miguel-tourigny
152117,1998-05-07,"Alvkarleby, SWE",Finland,Sweden,193,91,RW,R,2022-08-26,https://www.eliteprospects.com/player/152117/jesse-puljujarvi
213715,1997-04-28,"Val-d'Or, QC, CAN",Canada,NA,189,93,D,L,2022-08-26,https://www.eliteprospects.com/player/213715/jeremy-lauzon
534828,2005-05-29,"Stenungsund, SWE",Sweden,NA,181,82,C,L,2022-08-26,https://www.eliteprospects.com/player/534828/otto-stenberg
240047,1997-12-12,"Paris, FRA",Sweden,NA,184,84,C,L,2022-08-26,https://www.eliteprospects.com/player/240047/gustaf-westlund
391048,2002-03-29,"Airdrie, AB, CAN",Canada,NA,183,89,LW,L,2022-08-26,https://www.eliteprospects.com/player/391048/jake-neighbours
569305,2004-01-21,"Balgonie, SK, CAN",Canada,NA,180,79,C,L,2022-08-26,https://www.eliteprospects.com/player/569305/matthew-perkins
