"player","player_alt","similarity"
"Dominik Pavlata","Dominik Pavlat",0.022
"Dominik Pavlat","Dominik Pavlata",0.022
"Matthew Phillips","Matthew Philip",0.042
"Matthew Philip","Matthew Phillips",0.042
"Samuel Ersson","Samuel Eriksson",0.044
"Denis Smirnov","Deniss Smirnovs",0.044
"Samuel Eriksson","Samuel Ersson",0.044
"Deniss Smirnovs","Denis Smirnov",0.044
"Lucas Carlsson","Lukas Carlsson",0.048
"Lucas Carlsson","Lukas Carlsson",0.048
"Lukas Carlsson","Lucas Carlsson",0.048
"Lukas Carlsson","Lucas Carlsson",0.048
"Dominik Valik","Dominik Vacik",0.051
"Dominik Vacik","Dominik Valik",0.051
"Kyle Betts","Kyle Bettens",0.056
"Kyle Bettens","Kyle Betts",0.056
"Jack Beck","Jack Becker",0.061
"Ty Taylor","Trey Taylor",0.061
"Jack Becker","Jack Beck",0.061
"Ty Taylor","Trey Taylor",0.061
"Trey Taylor","Ty Taylor",0.061
"Trey Taylor","Ty Taylor",0.061
"Lukas Plos","Lukas Pilo",0.067
"Jon Bell","Jason Bell",0.067
"Jason Bell","Jon Bell",0.067
"Lukas Pilo","Lukas Plos",0.067
"Kent Anderson","Kevin Anderson",0.073
"Kevin Anderson","Kent Anderson",0.073
"Anton Johansson","Anton Johannesson",0.073
"Anton Johannesson","Anton Johansson",0.073
"Anton Johannesson","Anton Johansson",0.073
"Anton Johansson","Anton Johannesson",0.073
"Tyler Soy","Tyler Moy",0.074
"Tyler Moy","Tyler Soy",0.074
"Tyler Moy","Tyler Soy",0.074
"Tyler Soy","Tyler Moy",0.074
"Yegor Kuimov","Yegor Kuzminov",0.075
"Yegor Kuimov","Yegor Kuzminov",0.075
"Yegor Kuzminov","Yegor Kuimov",0.075
"Yegor Kuzminov","Yegor Kuimov",0.075
"Daniil Grigoryev","Danil Grigoryev",0.076
"Danil Grigoryev","Daniil Grigoryev",0.076
"Alexander Romanov","Alexander Komarov",0.078
"Alexander Komarov","Alexander Romanov",0.078
"Alexander Petunin","Alexander Polunin",0.078
"Alexander Polunin","Alexander Petunin",0.078
"Adam Engstrom","Adam Edstrom",0.079
"Patrick Geary","Patrick Guay",0.079
"Patrick Geary","Patrick Guay",0.079
"Marcus Nguyen","Marcus Nygren",0.079
"Kent Johnson","Brent Johnson",0.079
"Brent Johnson","Kent Johnson",0.079
"Ilya Safonov","Ilya Samsonov",0.079
"Adam Edstrom","Adam Engstrom",0.079
"Evan Bouchard","Evan Boucher",0.079
"Ilya Samsonov","Ilya Safonov",0.079
"Patrick Guay","Patrick Geary",0.079
"Evan Boucher","Evan Bouchard",0.079
"Marcus Nygren","Marcus Nguyen",0.079
"Patrick Guay","Patrick Geary",0.079
"Lukas Gustafsson","Lucas Gustavsson",0.083
"Lukas Gustafsson","Lucas Gustavsson",0.083
"Carl Lido","Carl Lindbom",0.083
